"","Aulacorhynchus prasinus","Myadestes melanops","Turdus plebejus","Pharomachrus mocinno","Chiroxiphia linearis","Semnornis frantzii","Procnias tricarunculata","Chlorospingus ophthalmicus","Chamaepetes unicolor","Elaenia frantzii","Ramphastos sulfuratus","Chlorophonia callophrys","Tityra semifasciata","Trogon aurantiiventris","Catharus ustulatus","Phainoptila melanoxantha","Psilhorinus morio","Tangara dowii","Turdus assimilis","Columba fasciata","Megarhynchus pitangua","Turdus grayi","Mionectes olivaceus","Momotus momota","Myiarchus tuberculifer","Myiozetetes similis","Atlapetes gutturalis","Euphonia hirundinacea","Myiodynastes luteiventris","Piculus rubiginosus","Melanerpes aurifrons","Melozone leucotis","Thrauphis episcopus","Columba flavirostris","Dacnis venusta","Elaenia flavogaster","Icterus galbula","Pheucticus ludovicianus","Piranga rubra","Tangara icterocephala"
"Besleria sp1 M_SD_019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bocconia frutescens",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Campelia zanonia",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cavendishia sp1 M_SD_019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cestrum megalophyllum",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chione costaricensis",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Columbrina celtififolia",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coussarea austin-smithii",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cupania glabra",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Daphnopsis americana",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
